product_id,product_name,category,brand,unit_price,cost_price,weight_kg,is_available
1,EpsilonFit T-Shirt Ultra,Clothing,EpsilonFit,46.07,16.47,0.68,true
2,KappaCore Speaker Lite,Electronics,KappaCore,65.73,23.45,6.62,true
3,ZetaCraft Speaker Pro,Electronics,ZetaCraft,456.8,175.04,2.61,false
4,BetaTech Speaker Plus,Electronics,BetaTech,109.1,51.05,22.25,true
5,AlphaGear Cabinet Pro,Furniture,AlphaGear,452.3,255.04,15.82,true
6,ThetaPro Dress Ultra,Clothing,ThetaPro,497.48,268.64,0.22,true
7,KappaCore Monitor Lite,Electronics,KappaCore,19.63,6.07,12.84,true
8,DeltaWear Jeans Lite,Clothing,DeltaWear,19.6,6.97,2.18,true
9,DeltaWear Scarf Max,Clothing,DeltaWear,476.85,209.54,13.83,false
10,IotaLux Honey Lite,Food,IotaLux,473.44,316.7,6.33,true
11,KappaCore Tea Lite,Food,KappaCore,397.61,212.73,4.22,false
12,EtaStyle Cereal Pro,Food,EtaStyle,300.18,122.67,8.04,false
13,KappaCore Pasta Plus,Food,KappaCore,179.69,118.44,20.5,true
14,EpsilonFit Webcam Ultra,Electronics,EpsilonFit,295.5,123.34,20.68,true
15,BetaTech Coffee Max,Food,BetaTech,94.05,40.35,19.79,true
16,ZetaCraft Monitor Max,Electronics,ZetaCraft,189.12,115.7,3.15,true
17,ThetaPro Sweater Pro,Clothing,ThetaPro,285.9,122.54,5.89,false
18,DeltaWear Socks Ultra,Clothing,DeltaWear,265.99,90.75,7.02,true
19,EtaStyle Bike Light Plus,Sports,EtaStyle,162.3,69.47,5.01,false
20,EtaStyle Keyboard Ultra,Electronics,EtaStyle,64.03,30.81,15.08,false
21,AlphaGear Stool Pro,Furniture,AlphaGear,146.09,81.44,21.42,false
22,EtaStyle Jacket Max,Clothing,EtaStyle,23.32,11.97,13.24,true
23,BetaTech Speaker Max,Electronics,BetaTech,415.78,193.77,7.59,true
24,IotaLux Tea Max,Food,IotaLux,388.43,193.25,1.27,false
25,ZetaCraft Tea Pro,Food,ZetaCraft,469.16,160.03,5.68,true
26,EtaStyle Mouse Max,Electronics,EtaStyle,117.04,39.23,18.13,true
27,AlphaGear Keyboard Max,Electronics,AlphaGear,59.85,40.63,1.97,false
28,GammaHome Jacket Lite,Clothing,GammaHome,293.81,102.23,8.05,false
29,IotaLux Tea Max,Food,IotaLux,266.16,141.37,16.57,true
30,BetaTech Pasta Ultra,Food,BetaTech,135.59,56.74,2.16,true
31,BetaTech Chair Lite,Furniture,BetaTech,486.02,157.52,0.43,false
32,ThetaPro Pasta Ultra,Food,ThetaPro,56.74,21.76,14.8,true
33,GammaHome Scarf Max,Clothing,GammaHome,424.66,145.35,3.34,false
34,IotaLux Bread Plus,Food,IotaLux,105.5,48.54,1.81,true
35,BetaTech Socks Lite,Clothing,BetaTech,77.91,50.68,18.65,true
36,EpsilonFit Chocolate Max,Food,EpsilonFit,19.15,10.82,11.37,true
37,ZetaCraft Yoga Mat Ultra,Sports,ZetaCraft,218.58,78.74,12.6,true
38,EpsilonFit Speaker Plus,Electronics,EpsilonFit,188.04,60.11,9.62,true
39,EtaStyle Sweater Ultra,Clothing,EtaStyle,92.44,37.93,15.23,false
40,DeltaWear Laptop Pro,Electronics,DeltaWear,479.69,186.04,1.42,true
41,IotaLux Chair Plus,Furniture,IotaLux,55.01,21.49,15.54,false
42,DeltaWear Tea Lite,Food,DeltaWear,368.29,240.06,6.78,true
43,EpsilonFit Sofa Lite,Furniture,EpsilonFit,354.4,147.14,0.18,false
44,GammaHome Sweater Plus,Clothing,GammaHome,160.98,52.77,4.76,true
45,EtaStyle Speaker Pro,Electronics,EtaStyle,170.36,63.2,6.67,true
46,ZetaCraft Charger Lite,Electronics,ZetaCraft,484.92,258.59,12.26,false
47,AlphaGear Laptop Ultra,Electronics,AlphaGear,285.8,198.96,20.9,true
48,BetaTech Chair Max,Furniture,BetaTech,155.78,92.61,11.37,true
49,ZetaCraft Rice Max,Food,ZetaCraft,232.08,146.47,7.6,false
50,IotaLux Keyboard Lite,Electronics,IotaLux,365.47,112.67,24.47,true
51,AlphaGear Scarf Max,Clothing,AlphaGear,125.96,75.12,24.33,true
52,EtaStyle Monitor Ultra,Electronics,EtaStyle,321.17,220.38,21.94,false
53,EpsilonFit Dumbbell Ultra,Sports,EpsilonFit,455.61,200.26,8.35,false
54,DeltaWear Shorts Ultra,Clothing,DeltaWear,25.34,12.87,8.65,true
55,KappaCore Cereal Pro,Food,KappaCore,484.24,298.75,7.28,false
56,GammaHome Rug Lite,Furniture,GammaHome,263.98,109.79,14.0,true
57,BetaTech Rice Max,Food,BetaTech,400.89,122.77,1.12,true
58,EpsilonFit Speaker Pro,Electronics,EpsilonFit,7.52,3.32,20.87,true
59,EpsilonFit Sofa Ultra,Furniture,EpsilonFit,393.71,197.17,23.97,true
60,GammaHome Keyboard Pro,Electronics,GammaHome,497.98,188.58,14.67,true
61,ThetaPro Desk Plus,Furniture,ThetaPro,466.8,186.48,16.99,false
62,EpsilonFit Tea Plus,Food,EpsilonFit,460.5,248.12,4.42,true
63,DeltaWear Dumbbell Max,Sports,DeltaWear,128.76,60.07,5.07,true
64,ThetaPro Socks Plus,Clothing,ThetaPro,275.19,123.94,21.91,true
65,ThetaPro Mirror Max,Furniture,ThetaPro,348.6,174.83,17.16,false
66,ThetaPro Coat Ultra,Clothing,ThetaPro,213.15,98.92,0.79,true
67,GammaHome Tea Ultra,Food,GammaHome,309.53,130.3,6.14,true
68,IotaLux Stool Plus,Furniture,IotaLux,450.46,293.3,1.43,true
69,ThetaPro Coffee Pro,Food,ThetaPro,404.7,263.04,11.56,true
70,BetaTech Keyboard Plus,Electronics,BetaTech,170.07,57.65,7.34,true
71,KappaCore Tablet Lite,Electronics,KappaCore,338.83,201.86,1.42,true
72,GammaHome Helmet Max,Sports,GammaHome,115.65,65.95,21.32,true
73,KappaCore Speaker Ultra,Electronics,KappaCore,345.45,119.49,0.1,true
74,DeltaWear Yoga Mat Plus,Sports,DeltaWear,106.13,51.95,20.83,false
75,EpsilonFit Tablet Ultra,Electronics,EpsilonFit,205.26,142.26,20.52,true
76,KappaCore Helmet Lite,Sports,KappaCore,65.98,23.65,0.64,true
77,IotaLux Mirror Pro,Furniture,IotaLux,104.17,51.27,7.31,false
78,EtaStyle Shorts Plus,Clothing,EtaStyle,195.98,121.5,11.65,true
79,ThetaPro Keyboard Pro,Electronics,ThetaPro,64.46,29.38,14.56,false
